mx,my,mz
2.1000001430511475,39.0,-8.700000762939453
2.1000001430511475,39.0,-7.800000190734863
2.1000001430511475,39.0,-7.800000190734863
2.1000001430511475,38.70000076293945,-8.100000381469727
2.1000001430511475,39.30000305175781,-8.40000057220459
2.1000001430511475,38.70000076293945,-8.100000381469727
2.1000001430511475,39.0,-9.0
2.1000001430511475,39.0,-8.100000381469727
1.8000000715255737,39.0,-8.100000381469727
2.1000001430511475,38.70000076293945,-8.100000381469727
2.1000001430511475,39.0,-8.40000057220459
2.4000000953674316,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,38.400001525878906,-8.40000057220459
2.1000001430511475,39.30000305175781,-9.0
2.1000001430511475,39.0,-9.0
2.1000001430511475,39.0,-8.40000057220459
2.4000000953674316,39.0,-7.200000286102295
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-7.800000190734863
2.1000001430511475,39.0,-9.300000190734863
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.40000057220459
1.8000000715255737,39.0,-8.40000057220459
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
1.8000000715255737,38.70000076293945,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,38.70000076293945,-8.100000381469727
1.8000000715255737,39.0,-7.800000190734863
2.1000001430511475,39.0,-8.700000762939453
2.1000001430511475,39.30000305175781,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-9.0
2.1000001430511475,39.0,-8.700000762939453
2.4000000953674316,39.30000305175781,-8.700000762939453
2.4000000953674316,39.0,-8.700000762939453
2.4000000953674316,39.0,-9.0
2.1000001430511475,39.0,-8.40000057220459
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.30000305175781,-8.700000762939453
2.4000000953674316,39.30000305175781,-8.700000762939453
2.4000000953674316,39.30000305175781,-8.40000057220459
2.4000000953674316,39.30000305175781,-9.300000190734863
2.1000001430511475,39.30000305175781,-9.300000190734863
2.4000000953674316,39.30000305175781,-9.600000381469727
2.1000001430511475,39.60000228881836,-10.200000762939453
2.1000001430511475,39.60000228881836,-9.600000381469727
1.8000000715255737,39.60000228881836,-10.200000762939453
1.5,39.900001525878906,-11.100000381469727
1.5,40.5,-12.90000057220459
1.2000000476837158,41.10000228881836,-15.300000190734863
0.6000000238418579,39.900001525878906,-11.700000762939453
-3.6000001430511475,39.30000305175781,-9.300000190734863
-6.0,39.0,-10.200000762939453
-7.200000286102295,39.30000305175781,-11.100000381469727
-6.900000095367432,39.30000305175781,-10.5
-6.600000381469727,39.0,-10.200000762939453
-7.500000476837158,38.70000076293945,-8.40000057220459
-8.100000381469727,38.70000076293945,-8.100000381469727
-8.100000381469727,38.70000076293945,-10.5
-10.800000190734863,37.5,-10.5
-14.40000057220459,36.900001525878906,-10.800000190734863
-17.700000762939453,36.0,-10.800000190734863
-19.200000762939453,35.70000076293945,-12.300000190734863
-20.700000762939453,35.10000228881836,-13.500000953674316
-22.200000762939453,34.5,-14.100000381469727
-24.30000114440918,33.30000305175781,-15.90000057220459
-26.700000762939453,33.30000305175781,-16.5
-27.30000114440918,32.70000076293945,-21.0
-29.100000381469727,32.400001525878906,-18.900001525878906
-29.700000762939453,32.10000228881836,-18.30000114440918
-29.700000762939453,32.10000228881836,-18.900001525878906
-29.700000762939453,32.10000228881836,-19.200000762939453
-29.700000762939453,32.10000228881836,-18.900001525878906
-29.100000381469727,32.70000076293945,-18.600000381469727
-28.500001907348633,32.400001525878906,-18.0
-28.80000114440918,32.70000076293945,-19.80000114440918
-28.80000114440918,33.30000305175781,-19.80000114440918
-28.200000762939453,34.80000305175781,-19.200000762939453
-25.200000762939453,35.70000076293945,-19.200000762939453
-23.400001525878906,35.400001525878906,-18.30000114440918
-24.0,35.400001525878906,-18.30000114440918
-24.30000114440918,35.10000228881836,-17.100000381469727
-24.0,35.400001525878906,-17.400001525878906
-23.700000762939453,35.400001525878906,-16.80000114440918
-23.400001525878906,35.10000228881836,-17.400001525878906
-24.0,34.80000305175781,-18.30000114440918
-24.600000381469727,35.400001525878906,-17.700000762939453
-23.700000762939453,35.400001525878906,-20.400001525878906
-23.700000762939453,35.400001525878906,-25.200000762939453
-23.100000381469727,36.0,-29.700000762939453
-20.400001525878906,36.0,-32.400001525878906
-17.400001525878906,36.60000228881836,-34.5
-14.100000381469727,36.900001525878906,-35.70000076293945
-10.200000762939453,37.20000076293945,-35.400001525878906
-7.200000286102295,38.10000228881836,-33.60000228881836
-4.5,38.10000228881836,-33.30000305175781
-4.5,37.80000305175781,-33.900001525878906
-4.5,36.900001525878906,-35.70000076293945
-4.5,36.900001525878906,-35.70000076293945
-2.1000001430511475,37.80000305175781,-31.200000762939453
4.5,37.80000305175781,-19.80000114440918
10.200000762939453,37.5,-28.80000114440918
7.800000190734863,39.900001525878906,-31.500001907348633
-10.800000190734863,38.70000076293945,-35.10000228881836
-7.800000190734863,38.10000228881836,-37.20000076293945
-9.600000381469727,39.0,-35.400001525878906
-9.300000190734863,38.400001525878906,-35.400001525878906
-9.300000190734863,38.70000076293945,-35.400001525878906
-9.300000190734863,38.70000076293945,-35.70000076293945
-9.0,38.400001525878906,-35.70000076293945
-9.300000190734863,38.10000228881836,-36.30000305175781
-9.600000381469727,38.10000228881836,-36.900001525878906
-10.5,38.10000228881836,-37.20000076293945
-10.800000190734863,38.10000228881836,-36.30000305175781
-12.0,38.10000228881836,-36.60000228881836
-12.90000057220459,36.900001525878906,-36.60000228881836
-15.90000057220459,35.400001525878906,-36.60000228881836
-20.100000381469727,35.10000228881836,-36.30000305175781
-20.700000762939453,35.70000076293945,-35.70000076293945
-20.100000381469727,38.10000228881836,-32.400001525878906
-17.100000381469727,38.400001525878906,-32.70000076293945
-16.5,38.10000228881836,-32.400001525878906
-16.5,37.5,-33.60000228881836
-16.80000114440918,37.5,-33.60000228881836
-17.400001525878906,37.20000076293945,-35.10000228881836
-15.90000057220459,36.60000228881836,-37.5
-13.500000953674316,35.70000076293945,-39.0
-12.600000381469727,36.30000305175781,-38.10000228881836
-12.300000190734863,37.80000305175781,-36.0
-8.700000762939453,39.0,-31.500001907348633
0.6000000238418579,38.70000076293945,-29.100000381469727
3.9000000953674316,39.0,-25.80000114440918
7.200000286102295,38.70000076293945,-23.400001525878906
8.100000381469727,38.70000076293945,-23.100000381469727
8.100000381469727,37.80000305175781,-27.30000114440918
9.90000057220459,36.30000305175781,-30.30000114440918
12.300000190734863,35.400001525878906,-30.900001525878906
14.700000762939453,35.70000076293945,-30.600000381469727
14.40000057220459,35.70000076293945,-30.600000381469727
13.500000953674316,35.400001525878906,-31.200000762939453
14.100000381469727,35.10000228881836,-30.600000381469727
15.300000190734863,33.900001525878906,-30.900001525878906
15.90000057220459,33.30000305175781,-31.200000762939453
17.100000381469727,32.70000076293945,-31.200000762939453
17.400001525878906,31.200000762939453,-31.200000762939453
19.5,29.100000381469727,-32.400001525878906
21.900001525878906,27.600000381469727,-35.70000076293945
21.600000381469727,29.400001525878906,-36.0
19.5,31.500001907348633,-35.70000076293945
15.90000057220459,33.0,-35.400001525878906
14.100000381469727,33.30000305175781,-35.70000076293945
12.90000057220459,33.30000305175781,-37.20000076293945
12.600000381469727,31.500001907348633,-40.20000076293945
11.700000762939453,38.70000076293945,-34.80000305175781
-3.9000000953674316,40.5,-28.500001907348633
-6.0,40.20000076293945,-26.700000762939453
-8.700000762939453,39.0,-27.600000381469727
-15.300000190734863,39.0,-28.200000762939453
-16.5,37.5,-36.0
-15.90000057220459,37.5,-36.0
-14.700000762939453,37.80000305175781,-35.70000076293945
-15.300000190734863,37.5,-35.10000228881836
-15.90000057220459,36.900001525878906,-34.80000305175781
-18.0,36.0,-36.900001525878906
-18.600000381469727,35.70000076293945,-37.20000076293945
-18.900001525878906,36.0,-36.30000305175781
-18.600000381469727,37.20000076293945,-37.80000305175781
-15.300000190734863,38.10000228881836,-37.20000076293945
-12.90000057220459,38.70000076293945,-37.5
-7.200000286102295,39.60000228881836,-33.900001525878906
-2.4000000953674316,39.60000228881836,-33.60000228881836
-3.9000000953674316,39.60000228881836,-32.70000076293945
-5.400000095367432,40.20000076293945,-31.80000114440918
-5.700000286102295,40.20000076293945,-29.700000762939453
-3.9000000953674316,40.20000076293945,-23.100000381469727
-2.700000047683716,39.900001525878906,-21.600000381469727
-2.1000001430511475,39.60000228881836,-22.200000762939453
1.5,38.10000228881836,-19.200000762939453
7.800000190734863,36.900001525878906,-17.400001525878906
11.700000762939453,33.900001525878906,-15.300000190734863
17.100000381469727,32.10000228881836,-13.200000762939453
19.80000114440918,32.400001525878906,-16.200000762939453
20.400001525878906,32.10000228881836,-16.80000114440918
20.700000762939453,31.500001907348633,-19.200000762939453
21.600000381469727,31.80000114440918,-22.80000114440918
21.30000114440918,31.500001907348633,-35.400001525878906
15.300000190734863,30.30000114440918,-40.5
8.100000381469727,30.000001907348633,-43.80000305175781
-2.4000000953674316,27.30000114440918,-46.20000076293945
-8.700000762939453,23.400001525878906,-49.20000076293945
-12.90000057220459,21.600000381469727,-48.900001525878906
-16.200000762939453,19.5,-50.10000228881836
-18.600000381469727,21.30000114440918,-48.30000305175781
-21.600000381469727,26.400001525878906,-46.20000076293945
-19.80000114440918,30.900001525878906,-40.80000305175781
-18.600000381469727,35.10000228881836,-38.400001525878906
-14.700000762939453,37.5,-35.70000076293945
-7.200000286102295,36.900001525878906,-35.70000076293945
-0.30000001192092896,36.0,-36.30000305175781
5.100000381469727,35.400001525878906,-33.0
10.800000190734863,33.900001525878906,-32.10000228881836
15.300000190734863,30.30000114440918,-26.400001525878906
22.80000114440918,25.500001907348633,-13.500000953674316
27.900001525878906,23.700000762939453,-4.200000286102295
26.700000762939453,24.30000114440918,0.9000000357627869
22.80000114440918,24.600000381469727,9.0
12.90000057220459,20.700000762939453,-3.0
-32.10000228881836,19.80000114440918,-22.5
-38.400001525878906,23.700000762939453,-28.80000114440918
-35.70000076293945,29.100000381469727,-28.200000762939453
-30.900001525878906,32.400001525878906,-28.200000762939453
-26.400001525878906,33.900001525878906,-27.600000381469727
-24.30000114440918,33.0,-27.900001525878906
-24.600000381469727,31.200000762939453,-27.600000381469727
-27.900001525878906,25.80000114440918,-17.700000762939453
-33.60000228881836,23.400001525878906,-15.600000381469727
-34.80000305175781,22.80000114440918,-13.500000953674316
-35.400001525878906,19.5,-9.300000190734863
-35.70000076293945,15.000000953674316,-3.0
-34.80000305175781,14.100000381469727,8.40000057220459
-24.30000114440918,15.90000057220459,11.700000762939453
-15.300000190734863,18.30000114440918,11.700000762939453
3.0,24.900001525878906,0.6000000238418579
20.700000762939453,25.80000114440918,-3.9000000953674316
22.80000114440918,23.400001525878906,-2.700000047683716
25.200000762939453,24.0,-4.5
26.100000381469727,23.700000762939453,-6.0
27.000001907348633,22.80000114440918,-7.500000476837158
28.500001907348633,21.0,-10.5
30.30000114440918,20.700000762939453,-12.300000190734863
31.500001907348633,22.200000762939453,-11.100000381469727
30.30000114440918,22.80000114440918,-11.700000762939453
30.000001907348633,23.100000381469727,-11.700000762939453
30.000001907348633,23.400001525878906,-12.300000190734863
29.700000762939453,24.900001525878906,-15.90000057220459
29.100000381469727,26.400001525878906,-16.5
27.900001525878906,27.000001907348633,-18.600000381469727
27.000001907348633,27.600000381469727,-20.100000381469727
26.700000762939453,27.900001525878906,-21.0
26.400001525878906,29.100000381469727,-23.100000381469727
24.600000381469727,31.200000762939453,-23.400001525878906
22.200000762939453,33.0,-23.700000762939453
19.80000114440918,33.60000228881836,-24.30000114440918
19.200000762939453,33.0,-23.700000762939453
19.80000114440918,32.70000076293945,-22.5
21.0,31.200000762939453,-20.700000762939453
22.5,29.100000381469727,-13.800000190734863
24.30000114440918,26.700000762939453,-5.100000381469727
24.0,22.5,12.90000057220459
-12.90000057220459,23.700000762939453,-15.000000953674316
-35.10000228881836,27.900001525878906,-42.900001525878906
-24.900001525878906,31.500001907348633,-44.70000076293945
-11.700000762939453,32.10000228881836,-42.900001525878906
-10.800000190734863,32.10000228881836,-42.900001525878906
-9.600000381469727,33.60000228881836,-40.5
-10.200000762939453,33.900001525878906,-39.60000228881836
-12.0,34.20000076293945,-38.70000076293945
-13.200000762939453,33.60000228881836,-38.400001525878906
-15.300000190734863,33.30000305175781,-37.80000305175781
-18.0,31.500001907348633,-36.0
-22.80000114440918,30.900001525878906,-35.400001525878906
-25.200000762939453,29.400001525878906,-34.20000076293945
-27.30000114440918,27.600000381469727,-30.900001525878906
-30.600000381469727,26.100000381469727,-27.000001907348633
-33.0,22.80000114440918,-14.100000381469727
-35.10000228881836,18.900001525878906,2.1000001430511475
-27.900001525878906,16.80000114440918,10.800000190734863
-18.900001525878906,18.0,10.5
-18.30000114440918,19.80000114440918,10.200000762939453
-14.700000762939453,21.900001525878906,11.100000381469727
2.700000047683716,23.400001525878906,6.600000381469727
13.800000190734863,25.200000762939453,-0.30000001192092896
21.30000114440918,26.700000762939453,-7.800000190734863
24.900001525878906,27.900001525878906,-12.90000057220459
25.200000762939453,28.500001907348633,-21.600000381469727
24.900001525878906,29.100000381469727,-23.700000762939453
24.0,30.000001907348633,-25.500001907348633
22.80000114440918,30.30000114440918,-26.700000762939453
21.600000381469727,30.600000381469727,-27.900001525878906
20.400001525878906,31.500001907348633,-27.000001907348633
20.100000381469727,33.60000228881836,-21.600000381469727
18.600000381469727,33.900001525878906,-18.30000114440918
18.30000114440918,34.20000076293945,-15.600000381469727
17.400001525878906,34.5,-13.800000190734863
15.90000057220459,34.20000076293945,-10.5
15.300000190734863,33.60000228881836,-1.5
6.900000095367432,33.900001525878906,0.0
-0.30000001192092896,33.30000305175781,-0.30000001192092896
-9.0,33.30000305175781,-4.800000190734863
-17.400001525878906,32.70000076293945,-10.5
-22.200000762939453,32.10000228881836,-13.200000762939453
-24.900001525878906,32.10000228881836,-17.100000381469727
-26.700000762939453,32.10000228881836,-27.600000381469727
-27.000001907348633,33.30000305175781,-31.80000114440918
-24.900001525878906,34.5,-31.80000114440918
-20.700000762939453,35.70000076293945,-31.500001907348633
-18.30000114440918,35.70000076293945,-33.0
-17.100000381469727,35.10000228881836,-38.10000228881836
-9.0,35.400001525878906,-38.400001525878906
-5.700000286102295,36.0,-36.900001525878906
-6.600000381469727,35.70000076293945,-37.20000076293945
-8.700000762939453,34.80000305175781,-38.400001525878906
-9.600000381469727,33.60000228881836,-39.900001525878906
-12.0,30.600000381469727,-37.80000305175781
-21.900001525878906,29.400001525878906,-38.10000228881836
-24.30000114440918,28.500001907348633,-37.20000076293945
-26.100000381469727,27.000001907348633,-35.10000228881836
-28.500001907348633,25.80000114440918,-30.30000114440918
-31.80000114440918,21.600000381469727,-21.30000114440918
-36.900001525878906,20.700000762939453,-17.100000381469727
-37.20000076293945,20.700000762939453,-17.100000381469727
-36.900001525878906,20.400001525878906,-14.700000762939453
-36.900001525878906,19.80000114440918,-10.800000190734863
-36.0,19.200000762939453,-6.600000381469727
-33.900001525878906,20.100000381469727,-3.0
-31.500001907348633,20.100000381469727,0.30000001192092896
-29.400001525878906,21.0,2.4000000953674316
-26.100000381469727,22.200000762939453,6.0
-20.100000381469727,24.0,8.100000381469727
-8.700000762939453,29.100000381469727,-2.1000001430511475
17.100000381469727,31.80000114440918,-8.700000762939453
18.0,33.0,-10.5
17.100000381469727,33.30000305175781,-13.500000953674316
18.30000114440918,33.0,-16.200000762939453
19.200000762939453,33.900001525878906,-18.600000381469727
18.600000381469727,34.20000076293945,-23.100000381469727
17.400001525878906,34.5,-27.600000381469727
14.40000057220459,35.70000076293945,-28.500001907348633
12.600000381469727,35.400001525878906,-28.200000762939453
12.0,35.70000076293945,-28.80000114440918
10.5,36.30000305175781,-30.900001525878906
7.500000476837158,37.20000076293945,-30.000001907348633
6.600000381469727,36.900001525878906,-29.700000762939453
6.900000095367432,36.60000228881836,-30.30000114440918
6.0,37.20000076293945,-30.600000381469727
6.300000190734863,37.20000076293945,-30.30000114440918
7.500000476837158,37.20000076293945,-30.000001907348633
7.200000286102295,37.5,-29.700000762939453
7.200000286102295,36.60000228881836,-27.000001907348633
10.5,36.30000305175781,-26.100000381469727
12.300000190734863,36.30000305175781,-24.900001525878906
13.200000762939453,36.0,-23.400001525878906
13.200000762939453,36.30000305175781,-21.0
13.800000190734863,36.0,-15.90000057220459
14.100000381469727,35.10000228881836,-12.90000057220459
13.800000190734863,34.80000305175781,-10.5
13.200000762939453,34.5,-7.800000190734863
12.0,33.0,-4.200000286102295
10.800000190734863,26.700000762939453,6.0
9.90000057220459,21.0,12.600000381469727
8.40000057220459,14.100000381469727,16.80000114440918
3.6000001430511475,9.0,19.200000762939453
-0.30000001192092896,5.700000286102295,20.100000381469727
-1.5,-1.8000000715255737,21.600000381469727
1.8000000715255737,-5.400000095367432,21.600000381469727
4.200000286102295,-7.800000190734863,21.900001525878906
3.3000001907348633,-9.0,21.900001525878906
1.5,-12.0,21.30000114440918
-0.30000001192092896,-16.80000114440918,21.0
-6.900000095367432,-22.80000114440918,14.40000057220459
-18.600000381469727,-24.900001525878906,10.800000190734863
-22.80000114440918,-26.400001525878906,5.700000286102295
-25.500001907348633,-27.000001907348633,4.800000190734863
-25.80000114440918,-26.100000381469727,4.800000190734863
-26.100000381469727,-26.100000381469727,4.800000190734863
-27.30000114440918,-27.600000381469727,0.9000000357627869
-27.900001525878906,-27.900001525878906,0.6000000238418579
-27.900001525878906,-28.500001907348633,-1.8000000715255737
-28.500001907348633,-30.000001907348633,-4.5
-28.500001907348633,-31.80000114440918,-7.800000190734863
-27.600000381469727,-31.200000762939453,-12.0
-28.500001907348633,-31.200000762939453,-15.90000057220459
-28.80000114440918,-31.500001907348633,-18.600000381469727
-27.900001525878906,-31.200000762939453,-20.700000762939453
-27.900001525878906,-29.700000762939453,-23.100000381469727
-28.80000114440918,-25.500001907348633,-37.20000076293945
-23.700000762939453,-23.100000381469727,-41.70000076293945
-20.700000762939453,-20.100000381469727,-44.10000228881836
-21.600000381469727,-19.200000762939453,-44.10000228881836
-22.5,-18.0,-43.20000076293945
-23.400001525878906,-16.200000762939453,-43.80000305175781
-24.900001525878906,-11.40000057220459,-44.400001525878906
-27.900001525878906,-9.600000381469727,-44.10000228881836
-29.400001525878906,-7.500000476837158,-44.10000228881836
-30.900001525878906,-6.300000190734863,-43.20000076293945
-32.10000228881836,-4.800000190734863,-42.30000305175781
-33.30000305175781,0.0,-38.400001525878906
-37.5,1.8000000715255737,-37.20000076293945
-38.10000228881836,4.200000286102295,-35.400001525878906
-39.0,6.300000190734863,-34.20000076293945
-39.60000228881836,8.700000762939453,-32.70000076293945
-39.60000228881836,11.40000057220459,-32.400001525878906
-39.30000305175781,16.200000762939453,-32.70000076293945
-37.20000076293945,18.900001525878906,-33.900001525878906
-36.60000228881836,20.700000762939453,-32.400001525878906
-36.0,21.900001525878906,-30.900001525878906
-35.70000076293945,23.400001525878906,-28.80000114440918
-35.70000076293945,25.200000762939453,-27.30000114440918
-34.5,27.600000381469727,-27.900001525878906
-32.10000228881836,29.400001525878906,-30.000001907348633
-29.400001525878906,34.80000305175781,-31.200000762939453
-21.900001525878906,34.5,-31.500001907348633
-21.0,32.70000076293945,-34.5
-23.400001525878906,31.80000114440918,-33.60000228881836
-25.80000114440918,31.200000762939453,-33.0
-26.700000762939453,32.10000228881836,-29.700000762939453
-27.30000114440918,32.70000076293945,-27.900001525878906
-27.000001907348633,33.0,-26.700000762939453
-26.400001525878906,33.30000305175781,-26.400001525878906
-25.80000114440918,33.30000305175781,-26.700000762939453
-26.100000381469727,33.0,-25.80000114440918
-26.700000762939453,35.400001525878906,-23.100000381469727
-22.80000114440918,35.70000076293945,-22.80000114440918
-22.200000762939453,34.80000305175781,-22.80000114440918
-23.700000762939453,32.10000228881836,-23.400001525878906
-27.30000114440918,28.80000114440918,-24.0
-31.80000114440918,21.0,-23.100000381469727
-38.10000228881836,17.400001525878906,-21.0
-39.900001525878906,14.40000057220459,-21.30000114440918
-41.10000228881836,11.700000762939453,-20.100000381469727
-42.0,9.300000190734863,-15.300000190734863
-42.30000305175781,5.700000286102295,-5.100000381469727
-40.20000076293945,0.6000000238418579,8.700000762939453
-32.10000228881836,0.6000000238418579,11.100000381469727
-28.80000114440918,-0.30000001192092896,12.90000057220459
-26.400001525878906,-3.0,12.600000381469727
-27.600000381469727,-5.400000095367432,11.700000762939453
-28.500001907348633,-8.100000381469727,12.0
-28.200000762939453,-15.600000381469727,10.5
-28.500001907348633,-19.200000762939453,8.100000381469727
-29.400001525878906,-21.0,6.600000381469727
-30.000001907348633,-21.900001525878906,4.800000190734863
-29.700000762939453,-22.80000114440918,5.400000095367432
-28.80000114440918,-24.30000114440918,5.400000095367432
-27.30000114440918,-25.500001907348633,4.5
-27.000001907348633,-26.100000381469727,5.100000381469727
-26.400001525878906,-26.100000381469727,5.700000286102295
-25.80000114440918,-26.700000762939453,5.400000095367432
-24.900001525878906,-28.200000762939453,4.200000286102295
-24.900001525878906,-28.80000114440918,3.9000000953674316
-24.900001525878906,-27.900001525878906,3.0
-25.200000762939453,-28.200000762939453,3.0
-26.700000762939453,-27.900001525878906,1.5
-27.000001907348633,-27.600000381469727,1.2000000476837158
-27.600000381469727,-28.200000762939453,0.30000001192092896
-27.900001525878906,-28.200000762939453,-2.4000000953674316
-28.80000114440918,-27.30000114440918,-8.100000381469727
-31.500001907348633,-26.100000381469727,-14.700000762939453
-33.60000228881836,-23.400001525878906,-19.80000114440918
-35.400001525878906,-21.30000114440918,-28.200000762939453
-35.10000228881836,-21.30000114440918,-34.80000305175781
-30.600000381469727,-21.900001525878906,-38.10000228881836
-26.700000762939453,-18.900001525878906,-42.0
-25.80000114440918,-14.700000762939453,-45.60000228881836
-24.30000114440918,-11.40000057220459,-49.80000305175781
-21.600000381469727,-7.200000286102295,-51.30000305175781
-19.80000114440918,-3.3000001907348633,-51.900001525878906
-20.400001525878906,3.9000000953674316,-48.60000228881836
-26.700000762939453,7.500000476837158,-47.400001525878906
-29.700000762939453,10.5,-42.900001525878906
-33.30000305175781,12.300000190734863,-39.900001525878906
-35.400001525878906,13.800000190734863,-37.20000076293945
-36.30000305175781,15.600000381469727,-30.30000114440918
-38.70000076293945,16.80000114440918,-30.30000114440918
-38.400001525878906,18.0,-29.400001525878906
-38.400001525878906,18.30000114440918,-27.600000381469727
-38.400001525878906,18.900001525878906,-25.500001907348633
-38.70000076293945,21.600000381469727,-20.700000762939453
-37.5,22.80000114440918,-16.5
-36.0,24.600000381469727,-13.500000953674316
-34.20000076293945,25.200000762939453,-12.300000190734863
-32.70000076293945,26.400001525878906,-10.200000762939453
-30.900001525878906,28.500001907348633,-8.40000057220459
-28.200000762939453,30.30000114440918,-6.0
-24.30000114440918,31.200000762939453,-5.700000286102295
-21.600000381469727,32.10000228881836,-3.9000000953674316
-19.200000762939453,31.500001907348633,-1.5
-17.700000762939453,29.400001525878906,0.6000000238418579
-17.700000762939453,26.700000762939453,3.3000001907348633
-18.30000114440918,20.700000762939453,10.200000762939453
-16.80000114440918,17.100000381469727,12.600000381469727
-15.600000381469727,13.500000953674316,15.300000190734863
-13.200000762939453,8.100000381469727,18.30000114440918
-11.700000762939453,3.0,20.100000381469727
-10.200000762939453,-1.5,21.600000381469727
-6.900000095367432,-5.400000095367432,22.200000762939453
-3.3000001907348633,-10.800000190734863,21.30000114440918
-1.5,-28.80000114440918,15.000000953674316
-1.2000000476837158,-32.400001525878906,11.100000381469727
3.9000000953674316,-36.0,7.800000190734863
2.1000001430511475,-39.0,2.4000000953674316
-1.5,-40.80000305175781,-6.600000381469727
-5.100000381469727,-36.900001525878906,-27.30000114440918
-7.200000286102295,-34.5,-30.30000114440918
-12.0,-31.200000762939453,-33.60000228881836
